page_1	page_2	page_3	page_4	page_5	page_6	page_7	page_8	page_9	page_10	page_11	page_12	page_13	page_14	page_15	page_16	page_17	page_18	page_19	page_20	page_21	page_22	page_23	page_24	page_25	page_26	page_27	page_28	page_29	page_30
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
708	708	708	708	708	708	708	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	963	963	818	818	818	818	818	821	821	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	979	979	979	818	679	682	682	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
708	708	708	708	708	708	708	708	708	708	708	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	679	799	191	282	237	116	788	282	237	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	293	536	679	799	706	1056	0	679	799	198	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	921	921	921	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	1041	818	818	818	818	818	853	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	-1	-1	-1
0	818	818	818	936	818	818	818	818	818	818	818	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	0	818	818	818	818	818	818	818	0	818	818	818	998	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
708	708	708	708	708	708	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	198	818	956	818	982	818	198	818	826	826	835	826	824	826	826	826	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
708	708	708	708	708	0	818	818	0	191	818	0	191	818	708	0	191	818	708	708	708	708	-1	-1	-1	-1	-1	-1	-1	-1
708	708	708	708	708	708	708	708	708	708	708	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	679	818	818	818	818	818	818	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
826	835	835	826	826	826	826	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1054	1054	1054	1054	1054	1054	1054	1054	1054	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
237	1115	1114	1113	237	237	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
679	1077	818	818	818	818	818	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	788	788	818	818	818	818	932	818	818	818	818	905	905	905	222	0	788	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	204	164	159	164	159	164	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1112	1112	1117	1117	1117	1117	1117	1117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	818	818	222	824	818	1011	818	1011	1011	824	818	818	824	222	818	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
805	804	802	803	806	809	801	802	788	665	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
679	0	679	826	0	824	818	818	826	826	818	818	818	826	826	826	679	706	679	1105	679	1105	199	682	679	0	-1	-1	-1	-1
0	818	818	818	818	818	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	826	-1	-1	-1	-1	-1	-1
818	818	818	818	818	818	818	818	818	818	0	818	0	818	818	818	0	818	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	818	818	818	818	818	818	818	818	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
664	664	664	664	664	664	664	664	664	664	664	664	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
459	462	695	696	740	741	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
708	536	526	708	465	708	399	708	296	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	0	0	0	1079	1083	1087	1089	1088	1090	1104	1090	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	818	818	922	922	922	818	818	897	818	818	846	818	818	937	818	818	994	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
679	682	679	679	818	818	818	818	824	818	818	818	818	818	818	818	1003	827	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
679	679	682	682	680	682	0	680	682	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	788	821	0	198	275	238	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	840	840	818	824	818	818	840	820	821	0	191	222	671	230	120	230	222	671	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	818	818	851	818	818	834	818	818	818	818	818	851	851	818	851	820	821	821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	191	818	818	818	818	818	818	818	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	164	164	164	164	164	164	164	164	164	164	275	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	818	818	818	818	818	818	818	174	679	116	788	788	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
731	1064	1063	1061	1065	1065	1065	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
316	746	776	602	551	459	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
679	824	679	683	682	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
515	761	526	465	536	465	1053	296	338	418	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
536	526	399	515	761	296	399	1053	465	526	399	536	320	314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
